UUID,Name,CSP,Account ID,Region,Connection,Cost ($/h),CPU capacity,CPU used,Memory capacity (MB),Memory used (MB),Kubernetes version,CloudNatix version,CloudNatix channel
8b24ee82-c975-465d-9c6c-38044f055207,keppel-poc-eks,aws,533811351211,us-east-1,connected,0.6527999999999965,16000,642.4147927702553,6.8719476736e+10,2.4288692895688286e+10,v1.29.4-eks-036c24b,21.2,stable
e5bd51f9-51d9-465e-b8bb-dfe2b97801d0,kestrelcoal-dev-eks,aws,442049251927,ap-southeast-2,connected,0.8160000000000003,16000,830.9475364791297,6.8719476736e+10,3.3839225707996975e+10,v1.29.4-eks-036c24b,21.2,stable
78d558c5-8b1b-4006-b37f-8ace81ea6561,kestrelcoal-prod-eks,aws,442049251927,ap-southeast-2,connected,1.2240000000000086,24000,1594.3790260315925,1.03079215104e+11,4.915578480426849e+10,v1.29.4-eks-036c24b,21.2,stable
4ee403df-ea9a-44d1-ac24-1e842a24070d,kestrelcoal-test-eks,aws,442049251927,ap-southeast-2,connected,1.2240000000000086,24000,1138.456391772965,1.03079215104e+11,3.1426640179291355e+10,v1.29.4-eks-036c24b,21.2,stable
c46c1e2f-a7e4-49d6-a0fb-38c8b1fe241a,kimball-dev-eks,aws,442049251927,us-east-1,connected,1.305599999999993,32000,832.0789754241174,1.37438953472e+11,2.337973585821626e+10,v1.29.4-eks-036c24b,21.2,stable
e91de9b3-1a7f-48fd-a57c-277af1913c02,kimball-prod-eks,aws,442049251927,us-east-1,connected,1.9584000000000055,48000,661.630902229597,2.06158430208e+11,3.450656419351132e+10,v1.29.4-eks-036c24b,21.2,stable
c426dd5d-f7f3-41d8-9d2e-afe84de2bfa1,kmg-dev-eks,aws,442049251927,ap-southeast-2,connected,1.2240000000000086,24000,720.0898680558832,1.03079215104e+11,4.142784101179354e+10,v1.29.4-eks-036c24b,21.2,stable
2c25f2dd-d3d2-45b5-b2b6-ab2297ad476a,kmg-prod-eks,aws,442049251927,ap-southeast-2,connected,1.6320000000000014,32000,560.3279832034523,1.37438953472e+11,5.455699440980426e+10,v1.29.4-eks-036c24b,21.2,stable
30cc394e-9d11-4430-820c-3998f33ae79b,kmg-test-eks,aws,442049251927,ap-southeast-2,connected,0.8160000000000003,16000,433.68495459452186,6.8719476736e+10,2.118192815147161e+10,v1.29.4-eks-036c24b,21.2,stable
df61f882-ad89-4c4c-a872-28d202c82442,kosmos-poc-eks,aws,249469748895,us-east-1,connected,0.6160000000000022,16000,893.221972060541,6.8719476736e+10,2.5608262112714645e+10,v1.29.4-eks-036c24b,21.2,stable
